system_id,system_name,class,current_claim,architecture,implementation,portable,target_native,production,primary_residual,audit_state
021X,Usage Cost Metering Budgets Quotas Forecasting,OPERATIONS,Architecture/build-spec closed,CLOSED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_AUTHORIZED,Computer implementation and accounting/resource integration,IMPLEMENTATION_GAP_CANDIDATE
021Y,External Provider Governance Qualification Portability,OPERATIONS,Architecture/build-spec closed,CLOSED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_AUTHORIZED,Computer implementation and live provider evidence,IMPLEMENTATION_GAP_CANDIDATE
021Z,Requirements Controls Assurance Effectiveness Waivers Deficiencies,OPERATIONS,Architecture/build-spec closed,CLOSED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_AUTHORIZED,Computer implementation and boundary reconciliation with ASSURANCE-001,IMPLEMENTATION_GAP_CANDIDATE
021AA,Risk Management Treatment Acceptance Appetite Continuous Review,OPERATIONS,Architecture/build-spec closed,CLOSED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_AUTHORIZED,Computer implementation,IMPLEMENTATION_GAP_CANDIDATE
021AB,AI Model Agent Safety Risk Evals Red Team Oversight Drift,OPERATIONS,Architecture/build-spec closed,CLOSED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_AUTHORIZED,Computer implementation and empirical model/agent safety qualification,IMPLEMENTATION_GAP_CANDIDATE
021AC,Standards Lifecycle Currentness Adoption Supersession,OPERATIONS,Architecture/build-spec closed,CLOSED,NOT_STARTED,NOT_STARTED,NOT_STARTED,NOT_AUTHORIZED,Computer implementation and external standards drift integration,IMPLEMENTATION_GAP_CANDIDATE
CHAT-001A,Chat Conversational Workspace,PRODUCT_SYSTEM,Core implementation exists with larger repair lineage,CLOSED,PARTIAL_IMPLEMENTED,PASS_PARTIAL,PARTIAL,NOT_AUTHORIZED,Current v3 build-spec/implementation/cutover reconciliation,CHALLENGE_REQUIRED
USER-EXPERIENCE-001,User Experience Authority,PRODUCT_SYSTEM,Portable implementation evidence exists,CLOSED,PARTIAL_IMPLEMENTED,PASS_PARTIAL,PARTIAL,NOT_AUTHORIZED,Native iPhone/accessibility/cutover proof,CHALLENGE_REQUIRED
SHARED-DESIGN-SYSTEM-001,Shared Design System,PRODUCT_SYSTEM,Architecture strong and Creative-integrated,CLOSED,PARTIAL_IMPLEMENTED,PARTIAL,PARTIAL,NOT_AUTHORIZED,Implementation migration/cutover and native visual/accessibility proof,CHALLENGE_REQUIRED
CREATIVE-FABRIC,Creative Fabric and bounded creative authorities,INTELLIGENCE,Architecture strong plus partial portable implementation,CLOSED,PARTIAL_IMPLEMENTED,PASS_PARTIAL,PARTIAL,NOT_AUTHORIZED,Remaining implementation waves runtime mode enforcement and production cutover,CHALLENGE_REQUIRED
MOD-LOCALAI-001,Local AI Runtime and Routing,INTELLIGENCE,Research closed with integration substrate,CLOSED,PARTIAL_IMPLEMENTED,PARTIAL,PARTIAL,NOT_AUTHORIZED,Current model/runtime/resource/security profile and empirical qualification,CHALLENGE_REQUIRED
MOD-RESEARCH-001,Research System,DOMAIN,Research closed; current implementation standing fragmented,CLOSED,PARTIAL_IMPLEMENTED,PARTIAL,NOT_ASSESSED,NOT_AUTHORIZED,Current v3 capability/source/evidence reconciliation,CHALLENGE_REQUIRED
MOD-KNOWLEDGE-001,Unified Knowledge System,DOMAIN,Research closed; current implementation standing fragmented,CLOSED,PARTIAL_IMPLEMENTED,PARTIAL,NOT_ASSESSED,NOT_AUTHORIZED,Durable knowledge/provenance/currentness capability challenge,CHALLENGE_REQUIRED
MOD-LEARNING-001,Learning System,DOMAIN,Research closed plus active implementation/qualification work,CLOSED,PARTIAL_IMPLEMENTED,PASS_PARTIAL,PARTIAL,NOT_AUTHORIZED,Ingest latest Learning branch evidence and target qualification,CHALLENGE_REQUIRED
MOD-CURRICULUM-001,Curriculum System,DOMAIN,Research closed plus historical implementation,CLOSED,PARTIAL_IMPLEMENTED,PARTIAL,NOT_ASSESSED,NOT_AUTHORIZED,Current v3 integration and qualification,CHALLENGE_REQUIRED
BOOK-OS,Book Writing OS and specialist book authorities,DOMAIN,Large active architecture/implementation workstream,CLOSED,PARTIAL_IMPLEMENTED,PASS_PARTIAL,PARTIAL,NOT_AUTHORIZED,Higher ledger/evaluator/literary integration and current master standing ingestion,CHALLENGE_REQUIRED
MOD-AUTOMATION-001,Automation System,DOMAIN,Recovered capability with authority collision risk,CLOSED,PARTIAL_IMPLEMENTED,PARTIAL,NOT_ASSESSED,NOT_AUTHORIZED,Must compose through Orchestrator/FOUNDATION-003/PLATFORM-002 and prove no second scheduler,CHALLENGE_REQUIRED
MOD-CALENDAR-001,Calendar and Scheduling Domain,DOMAIN,Research closed,CLOSED,PARTIAL_IMPLEMENTED,PARTIAL,NOT_ASSESSED,NOT_AUTHORIZED,Durable integration/provider/permissions qualification,CHALLENGE_REQUIRED
MOD-COMMS-001,Communications Domain,DOMAIN,Research closed with PLATFORM-011 overlap,CLOSED,PARTIAL_IMPLEMENTED,PARTIAL,NOT_ASSESSED,NOT_AUTHORIZED,Current external communication authority composition,CHALLENGE_REQUIRED
MOD-PLUGINS-001,Plugins Connector Domain,DOMAIN,Research closed with Platform overlap,CLOSED,PARTIAL_IMPLEMENTED,PARTIAL,NOT_ASSESSED,NOT_AUTHORIZED,Compose PLATFORM-006/010/011 and prove permission/effect boundaries,CHALLENGE_REQUIRED
MOD-PORTFOLIO-001,Living Portfolio,DOMAIN,Research closed,CLOSED,PARTIAL_IMPLEMENTED,PARTIAL,NOT_ASSESSED,NOT_AUTHORIZED,Durable domain repository/integration and qualification,CHALLENGE_REQUIRED
MOD-LEDGER-001,Financial/Value Ledger,DOMAIN,Research closed with DATA/finance ownership reconciliation,CLOSED,PARTIAL_IMPLEMENTED,PARTIAL,NOT_ASSESSED,NOT_AUTHORIZED,Canonical finance/accounting boundaries durability and correctness proof,CHALLENGE_REQUIRED
MOD-AIINCOME-001,AI Income System,DOMAIN,Research closed,CLOSED,PARTIAL_IMPLEMENTED,PARTIAL,NOT_ASSESSED,NOT_AUTHORIZED,Durable workflow/portfolio/ledger/automation integration and qualification,CHALLENGE_REQUIRED
