system_id,system_name,system_class,canonical_owner,current_architecture_standing,current_implementation_standing,current_portable_evidence,current_target_native_evidence,production_standing,primary_source_location,primary_evidence_location,hard_dependencies,supersession_or_boundary,unresolved_gap,recon_status
FOUNDATION-008,Incident Resilience Continuity Recovery Objective Umbrella,FOUNDATION,FOUNDATION-008,HISTORICAL_UMBRELLA,IMPLEMENTED_HISTORICAL,PORTABLE_HISTORICAL,SUPERSEDED_BY_SPECIALISTS,NOT_PRODUCTION_READY,Foundation source/control paths,UAF/Foundation historical evidence,FOUNDATION-001;003;004;005;006;007,Semantics redistributed into 021G/021L/021U/021V; do not create duplicate owner,Explicit supersession map required,RECONCILIATION_REQUIRED
DATA-001,Canonical PostgreSQL Blob Recovery Projection Mechanics,DATA,DATA-001,CURRENT,IMPLEMENTED,STRONG_PORTABLE,LIVE_POSTGRES_PARTIAL,NOT_PRODUCTION_READY,07_DATABASE + JDBC/data adapters,DATA-001 portable/adversarial/parity + CQ migrations,FOUNDATION-001;002;003;005;006;007,Physical persistence owner not semantic domain owner,Live transaction/concurrency/recovery qualification not complete everywhere,CHALLENGE_REQUIRED
PLATFORM-001,Executable Platform Kernel Lifecycle,PLATFORM,PLATFORM-001,CURRENT,IMPLEMENTED,PORTABLE_PROVEN,TARGET_RESIDUAL,NOT_PRODUCTION_READY,platform source/control paths,Foundation baseline/UAF qualification,FOUNDATION-001;004;005;007;DATA-001,Kernel/lifecycle only,Current exact target/runtime evidence normalization,CHALLENGE_REQUIRED
PLATFORM-002,Durable Persistence & Work Runtime,PLATFORM,PLATFORM-002,CURRENT,STRONG_IMPLEMENTED,STRONG_PORTABLE,LIVE_DEPENDENCY_PARTIAL,NOT_PRODUCTION_READY,platform durable runtime paths,Foundation baseline/orchestrator/continuity evidence,FOUNDATION-003;005;DATA-001,Runtime mechanics not project/orchestrator authority,Live DB/host and load qualification residual,CHALLENGE_REQUIRED
PLATFORM-003,HTTP WebSocket Session Mobile Continuity Runtime,PLATFORM,PLATFORM-003,CURRENT,IMPLEMENTED,PORTABLE_PROVEN,IOS_TARGET_MISSING,NOT_PRODUCTION_READY,platform transport/session paths,Foundation baseline + continuity evidence,PLATFORM-001;002;FOUNDATION-004,Transport/session runtime not domain truth,Real System Master iOS target absent,CHALLENGE_REQUIRED
PLATFORM-006,Capability Control Plane Registry Discovery Routing,PLATFORM,PLATFORM-006,CURRENT,STRONG_IMPLEMENTED,STRONG_PORTABLE,PROVIDER_TARGET_PARTIAL,NOT_PRODUCTION_READY,src/main/java capability routing paths,Verified-output/LocalAI/vertical-slice tests,FOUNDATION-004;005;006;007;PLATFORM-012,Capability standing not Assurance promotion standing,Current complete capability census and fail-closed activation proof required,CHALLENGE_REQUIRED
PLATFORM-008,Governed Artifact & File Gateway,PLATFORM,PLATFORM-008,CURRENT,STRONG_IMPLEMENTED,STRONG_PORTABLE,NATIVE_PROVIDER_PARTIAL,NOT_PRODUCTION_READY,artifact/file gateway source,verified-output + artifact qualification,FOUNDATION-002;004;007;DATA-001,Byte/artifact custody not semantic verification truth,Native malware/file-provider and broader target evidence residual,CHALLENGE_REQUIRED
PLATFORM-009,Governed Model & Inference Gateway,PLATFORM,PLATFORM-009,CURRENT,IMPLEMENTED_BASE,PORTABLE_PARTIAL,MODEL_PROVIDER_TARGET_MISSING,NOT_PRODUCTION_READY,model/inference gateway source,LocalAI/AI integration qualification,FOUNDATION-004;005;PLATFORM-006;012,Model route identity not qualification/promotion truth,Current multi-security-class profile implementation and empirical provider qualification,CHALLENGE_REQUIRED
PLATFORM-010,Governed Action Tool Side-Effect Execution,PLATFORM,PLATFORM-010,CURRENT,IMPLEMENTED,PORTABLE_PROVEN,TARGET_EFFECT_PARTIAL,NOT_PRODUCTION_READY,effect/action execution source,Foundation baseline/Creative/vertical-slice evidence,FOUNDATION-003;004;005;PLATFORM-006;012,Only effect authority; inference/orchestrator cannot self-authorize effects,Current target/provider effect reconciliation challenge required,CHALLENGE_REQUIRED
PLATFORM-011,Network Search Retrieval Connector Fabric,PLATFORM,PLATFORM-011,CURRENT_OWNER,HISTORICAL_IMPLEMENTED,PORTABLE_HISTORICAL,PROVIDER_TARGET_PARTIAL,NOT_PRODUCTION_READY,external communication/retrieval source,historical platform/Genesis evidence,PLATFORM-006;010;FOUNDATION-004;005,Owns external communication fabric not Browser/Comms semantic truth,Current exact-source implementation/evidence reconciliation needed,RECONCILIATION_REQUIRED
PLATFORM-012,Observability Causal Trace System Atlas Notifications,PLATFORM,PLATFORM-012,CURRENT_OWNER,HISTORICAL_IMPLEMENTED,PORTABLE_HISTORICAL,TARGET_PARTIAL,NOT_PRODUCTION_READY,observability source/control paths,historical platform evidence,FOUNDATION-001;006;PLATFORM-002,Telemetry never semantic truth; 021T specializes operational observability governance,Current OpenTelemetry/SLO coverage and exact-source evidence challenge,RECONCILIATION_REQUIRED
KEEL-001,Goal Requirement Constraint Delegation Context,CONTROL_DOMAIN,KEEL-001,CURRENT,IMPLEMENTED,PORTABLE_PROVEN,NO_TARGET_REQUIRED_YET,NOT_PRODUCTION_READY,KEEL source/control paths,Foundation baseline portable checks,Foundation/Platform contracts,Intent/goal authority not scheduler/executor,Current end-to-end Project/Orchestrator integration challenge required,CHALLENGE_REQUIRED
MOD-PROJECTS-001,Projects Goal Work System,DOMAIN_CONTROL,MOD-PROJECTS-001,RESEARCH_CLOSED,PARTIAL_RECOVERED,PORTABLE_PARTIAL,NO_TARGET_PROOF,NOT_PRODUCTION_READY,recovered Projects source + integration artifacts,System Recovery Audit + project integration receipts,KEEL-001;FOUNDATION-003;PLATFORM-002;DATA-001,Must not create second scheduler/runtime,Durable Project repository and long-term Project Memory incomplete,IMPLEMENTATION_GAP
SYSTEM-ORCHESTRATOR,System Orchestrator,CONTROL_RUNTIME,SYSTEM-ORCHESTRATOR,CURRENT,STRONG_IMPLEMENTED,STRONG_PORTABLE,TARGET_LIVE_PARTIAL,NOT_PRODUCTION_READY,src/main/java/org/systemmaster/orchestrator + vertical slice,VerifiedOutput/Orchestrator closure/fault/recovery evidence,KEEL-001;FOUNDATION-003;006;PLATFORM-002;006;008;010,Coordinates work; does not own goal/domain/effect/verification truth,Live dependency/target evidence and current DAG integration normalization,CHALLENGE_REQUIRED
021F,Maintenance Change Evolution Governance,OPERATING_SPINE,021F,CURRENT,IMPLEMENTED_SUBSTANTIALLY,PORTABLE_EVIDENCE_PRESENT,TARGET_PARTIAL,NOT_PRODUCTION_READY,system-master/f-wp-001..012 + 021f-integration,F-WP qualification artifacts,ASSURANCE-001;SYSTEM-MODEL-001,Predecessor in 021F-021AC build order,Whole-authority current standing normalization,CHALLENGE_REQUIRED
021G,Continuity & Recovery,OPERATING_SPINE,021G,CURRENT,STRONG_IMPLEMENTED,STRONG_PORTABLE,WINDOWS_TARGET_PASS_IOS_DEFERRED,NOT_PRODUCTION_READY,Continuity branches/artifacts,G-WP portable + A-01 ordinary + Windows reboot receipts,021F;FOUNDATION-003;PLATFORM-002;003,Does not own backup/DR 021L or incident 021U,Successor-eligibility adjudication with iOS deferred until real client,CHALLENGE_REQUIRED
021H,Resource Platform / Long-Job Scheduling Admission,OPERATING_SPINE,021H,BUILD_SPEC_CLOSED,NOT_IMPLEMENTED_CURRENT,NOT_EXECUTED,NOT_EXECUTED,NOT_PRODUCTION_READY,021H architecture/build-spec artifacts,architecture qualification only,021G;PLATFORM-002,Owns resource admission/scheduling not project semantics,Computer implementation absent,IMPLEMENTATION_GAP
021I,Distributed Worker Agent Execution Placement Fencing,OPERATING_SPINE,021I,BUILD_SPEC_CLOSED,NOT_IMPLEMENTED_CURRENT,NOT_EXECUTED,NOT_EXECUTED,NOT_PRODUCTION_READY,021I architecture/build-spec artifacts,architecture qualification only,021H,Execution placement/fencing not job semantic truth,Computer implementation absent,IMPLEMENTATION_GAP
021J,Durable Command Event Transport,OPERATING_SPINE,021J,BUILD_SPEC_CLOSED,NOT_IMPLEMENTED_AS_SPECIALIST,FOUNDATION_SUBSTRATE_EXISTS,NOT_EXECUTED,NOT_PRODUCTION_READY,021J architecture/build-spec artifacts,architecture qualification only,021I;FOUNDATION-003;PLATFORM-002,Specializes transport; must reuse existing durable substrate,Specialist implementation/reconciliation absent,IMPLEMENTATION_GAP
021K,Distributed State Consistency Sagas Reconciliation,OPERATING_SPINE,021K,BUILD_SPEC_CLOSED,NOT_STARTED,NOT_EXECUTED,NOT_EXECUTED,NOT_PRODUCTION_READY,021K-R1 artifacts,architecture closure receipt,021J;DATA-001;PLATFORM-010,Coordinates state consistency not domain truth,Computer implementation not started,IMPLEMENTATION_GAP
021L,Data Custody Replicas Backup PITR DR RPO RTO,OPERATING_SPINE,021L,BUILD_SPEC_CLOSED,NOT_STARTED,NOT_EXECUTED,NOT_EXECUTED,NOT_PRODUCTION_READY,021L-R1 artifacts,architecture closure receipt,021K;DATA-001,Owns custody/recoverability not lifecycle deletion,Computer implementation not started,IMPLEMENTATION_GAP
021M,Data Lifecycle Retention Archive Deletion Purge Holds,OPERATING_SPINE,021M,BUILD_SPEC_CLOSED,NOT_STARTED,NOT_EXECUTED,NOT_EXECUTED,NOT_PRODUCTION_READY,021M-R1 artifacts,architecture closure receipt,021L;FOUNDATION-002;DATA-001,Owns disposition execution truth; not privacy/legal authority,Computer implementation not started,IMPLEMENTATION_GAP
021N,Privacy Classification Purpose Minimization Residency,OPERATING_SPINE,021N,BUILD_SPEC_CLOSED,NOT_STARTED,NOT_EXECUTED,NOT_EXECUTED,NOT_PRODUCTION_READY,021N-R1 artifacts,architecture closure receipt,021M;FOUNDATION-002,Privacy eligibility separate from auth/effects,Computer implementation not started,IMPLEMENTATION_GAP
021O,Identity Authentication Authorization Roles Delegation Revocation,OPERATING_SPINE,021O,BUILD_SPEC_CLOSED,NOT_STARTED,NOT_EXECUTED,NOT_EXECUTED,NOT_PRODUCTION_READY,021O-R1 artifacts,architecture closure receipt,021N;FOUNDATION-004,Specialist identity/auth authority; crypto remains 021P,Computer implementation not started,IMPLEMENTATION_GAP
021P,Cryptographic Trust Secrets Keys Certs Signing Encryption Attestation,OPERATING_SPINE,021P,BUILD_SPEC_CLOSED,NOT_STARTED,NOT_EXECUTED,NOT_EXECUTED,NOT_PRODUCTION_READY,021P-R1 artifacts,architecture closure receipt,021O,Crypto validity never grants semantic authority,Computer and target-native implementation not started,IMPLEMENTATION_GAP
021Q,Runtime Trust Zero Trust Containment Quarantine,OPERATING_SPINE,021Q,ARCHITECTURE_CLOSED,NOT_NORMALIZED,NOT_EXECUTED,NOT_EXECUTED,NOT_PRODUCTION_READY,021Q architecture artifacts,architecture/build-spec evidence,021P,Runtime containment separate from auth/crypto,Implementation standing requires exact recovery,RECONCILIATION_REQUIRED
021R,Software Supply Chain Release Integrity Vulnerability Patch Trust,OPERATING_SPINE,021R,ARCHITECTURE_CLOSED,NOT_NORMALIZED,FOUNDATION_SUBSTRATE_EXISTS,NOT_EXECUTED,NOT_PRODUCTION_READY,021R architecture artifacts,architecture/build-spec evidence,021Q;FOUNDATION-007,Specializes software/release integrity,Implementation standing requires exact recovery,RECONCILIATION_REQUIRED
021S,Environment Promotion Deployment Rollout Rollback Convergence,OPERATING_SPINE,021S,ARCHITECTURE_CLOSED,HISTORICAL_SUBSTRATE,NOT_NORMALIZED,NOT_EXECUTED,NOT_PRODUCTION_READY,021S architecture artifacts,architecture/build-spec evidence,021R,Deployment standing distinct from Assurance qualification,Current implementation evidence recovery required,RECONCILIATION_REQUIRED
021T,Observability SLI SLO Error Budget Alerting,OPERATING_SPINE,021T,ARCHITECTURE_CLOSED,HISTORICAL_PLATFORM_SUBSTRATE,NOT_NORMALIZED,NOT_EXECUTED,NOT_PRODUCTION_READY,021T architecture artifacts + PLATFORM-012,architecture/build-spec + historical platform evidence,021S;PLATFORM-012;FOUNDATION-006,Observability data is evidence input not semantic truth,Current implementation/OpenTelemetry/SLO challenge required,RECONCILIATION_REQUIRED
021U,Incident Management Command Escalation Recovery PIR,OPERATING_SPINE,021U,ARCHITECTURE_CLOSED,NOT_NORMALIZED,NOT_EXECUTED,NOT_EXECUTED,NOT_PRODUCTION_READY,021U architecture artifacts,architecture/build-spec evidence,021T,Incident lifecycle distinct from Continuity/DR,Implementation standing requires exact recovery,RECONCILIATION_REQUIRED
021V,Resilience Fault Domains Failover Degradation Chaos,OPERATING_SPINE,021V,ARCHITECTURE_CLOSED,NOT_NORMALIZED,NOT_EXECUTED,NOT_EXECUTED,NOT_PRODUCTION_READY,021V architecture artifacts,architecture/build-spec evidence,021U;021L,Resilience qualification not equivalent to backup existence,Implementation standing requires exact recovery,RECONCILIATION_REQUIRED
021W,Performance Capacity Load Stress Soak Scaling,OPERATING_SPINE,021W,ARCHITECTURE_CLOSED,NOT_NORMALIZED,NOT_EXECUTED,NOT_EXECUTED,NOT_PRODUCTION_READY,021W architecture artifacts,architecture/build-spec evidence,021V;021H,Performance evidence must be workload/resource bound,Implementation standing requires exact recovery,RECONCILIATION_REQUIRED
021X,Usage Cost Metering Attribution Budgets Quotas,OPERATING_SPINE,021X,ARCHITECTURE_CLOSED,NOT_NORMALIZED,NOT_EXECUTED,NOT_EXECUTED,NOT_PRODUCTION_READY,021X architecture artifacts,architecture/build-spec evidence,021W,Cost governance not financial ledger domain truth,Implementation standing requires exact recovery,RECONCILIATION_REQUIRED
021Y,Provider Governance Qualification Portability Offboarding,OPERATING_SPINE,021Y,ARCHITECTURE_CLOSED,NOT_NORMALIZED,NOT_EXECUTED,PROVIDER_NATIVE_MISSING,NOT_PRODUCTION_READY,021Y architecture artifacts,architecture/build-spec evidence,021X;PLATFORM-011,Provider relationship standing not Assurance standing,Implementation/provider qualification requires exact recovery,RECONCILIATION_REQUIRED
021Z,Requirements Controls Assurance Governance,OPERATING_SPINE,021Z,ARCHITECTURE_CLOSED,NOT_NORMALIZED,NOT_EXECUTED,NOT_EXECUTED,NOT_PRODUCTION_READY,021Z architecture artifacts,architecture/build-spec evidence,021Y;ASSURANCE-001,Controls/obligations overlay; ASSURANCE-001 remains promotion authority,Implementation standing requires exact recovery,RECONCILIATION_REQUIRED
021AA,Risk Management,OPERATING_SPINE,021AA,ARCHITECTURE_CLOSED,NOT_NORMALIZED,NOT_EXECUTED,NOT_EXECUTED,NOT_PRODUCTION_READY,021AA architecture artifacts,architecture/build-spec evidence,021Z,Risk acceptance does not self-authorize release,Implementation standing requires exact recovery,RECONCILIATION_REQUIRED
021AB,AI Model Agent Safety Risk Governance,OPERATING_SPINE,021AB,ARCHITECTURE_CLOSED,NOT_STARTED,NOT_EXECUTED,MODEL_TARGET_MISSING,NOT_PRODUCTION_READY,021AB architecture artifacts,architecture/build-spec evidence,021AA;PLATFORM-009;ASSURANCE-001,AI safety standing separate from model routing and release promotion,Computer implementation and empirical eval/red-team absent,IMPLEMENTATION_GAP
021AC,Standards Lifecycle Governance,OPERATING_SPINE,021AC,ARCHITECTURE_CLOSED,NOT_STARTED,NOT_EXECUTED,EXTERNAL_STANDARDS_LIVE_REFRESH_MISSING,NOT_PRODUCTION_READY,021AC implementation blueprint,architecture/build-spec evidence,021AB,Tracks standards status; does not own compliance/risk/evidence truth,Computer implementation not started,IMPLEMENTATION_GAP
RIGHTS-001,Rights Licensing Permission Attribution Authority,CROSSCUT,RIGHTS-001,CURRENT_OWNER,NOT_NORMALIZED,NOT_NORMALIZED,PROVIDER_OR_LEGAL_TARGET_PARTIAL,NOT_PRODUCTION_READY,RIGHTS architecture/source artifacts,global coverage/reconciliation inputs,FOUNDATION-004;021N;021O,Does not provide legal advice; bounded rights/permission authority,Current implementation/source/evidence standing reconciliation required,RECONCILIATION_REQUIRED
CHAT-001A,Chat Runtime / Conversational Workspace,DOMAIN,CHAT-001A,CURRENT,IMPLEMENTED_CORE,PORTABLE_PROVEN,IOS_UI_TARGET_PENDING,NOT_PRODUCTION_READY,Chat source/repair branches,Foundation baseline + Chat repair evidence,KEEL-001;Orchestrator;Platform,Chat presentation/context not universal domain truth,Current v3 build-spec repair and target UI integration incomplete,CHALLENGE_REQUIRED
USER-EXPERIENCE-001,User Experience Authority,DOMAIN_PRESENTATION,USER-EXPERIENCE-001,CURRENT,IMPLEMENTED_BASE,PORTABLE_PROVEN,IPHONE_TARGET_PENDING,NOT_PRODUCTION_READY,UX source/control paths,Foundation baseline + Creative/SDS evidence,Chat/domain projections,Presentation authority only,Current SDS migration/cutover and physical iPhone qualification,CHALLENGE_REQUIRED
SHARED-DESIGN-SYSTEM-001,Shared Design System,CREATIVE_PRESENTATION,SHARED-DESIGN-SYSTEM-001,ARCHITECTURE_STRONG,PARTIAL_IMPLEMENTED,PORTABLE_PARTIAL,IPHONE_TARGET_PENDING,NOT_PRODUCTION_READY,SDS/Creative artifacts,Creative Fabric portable evidence,USER-EXPERIENCE-001,Design tokens/system not domain truth,Implementation/cutover/target proof incomplete,CHALLENGE_REQUIRED
CREATIVE-FABRIC,Creative Fabric,CREATIVE,CREATIVE-FABRIC,ARCHITECTURE_STRONG,PARTIAL_IMPLEMENTED,PORTABLE_PARTIAL,TARGET_PENDING,NOT_PRODUCTION_READY,Creative Fabric/SDS artifacts,Creative implementation wave receipts,PLATFORM-006;010;008;RIGHTS-001,Composition fabric not universal orchestrator/router/store,Remaining implementation waves and production routing/cutover,CHALLENGE_REQUIRED
MOD-LOCALAI-001,Local AI Model Runtime Routing,AI_DOMAIN,MOD-LOCALAI-001,RESEARCH_CLOSED,PARTIAL_IMPLEMENTATION,PORTABLE_PARTIAL,EMPIRICAL_MODEL_PROVIDER_NOT_EXECUTED,NOT_PRODUCTION_READY,LocalAI research/source/integration paths,LocalAI research closure + governed producer tests,PLATFORM-009;006;021H;ASSURANCE-001,Does not own resource/effect/qualification/domain truth,Current profile rebase + model/runtime empirical qualification,CHALLENGE_REQUIRED
MOD-RESEARCH-001,Research System,DOMAIN,MOD-RESEARCH-001,RESEARCH_CLOSED,NOT_NORMALIZED,NOT_NORMALIZED,PROVIDER_TARGET_PARTIAL,NOT_PRODUCTION_READY,Research module source/history,global module/recovery audits,Knowledge;Platform-011;Assurance,Research findings are evidence/proposals not automatic domain truth,Current v3 implementation/build-spec/evidence reconciliation required,RECONCILIATION_REQUIRED
MOD-KNOWLEDGE-001,Unified Knowledge System,DOMAIN,MOD-KNOWLEDGE-001,RESEARCH_CLOSED,NOT_NORMALIZED,NOT_NORMALIZED,NOT_NORMALIZED,NOT_PRODUCTION_READY,Knowledge module source/history,global module/recovery audits,DATA-001;Foundation provenance;Research,Knowledge authority distinct from transient memory/cache,Current v3 implementation/build-spec/evidence reconciliation required,RECONCILIATION_REQUIRED
MOD-LEARNING-001,Learning System,DOMAIN,MOD-LEARNING-001,RESEARCH_CLOSED,ACTIVE_IMPLEMENTATION,PORTABLE_AND_TARGET_WORK_ACTIVE,TARGET_PARTIAL,NOT_PRODUCTION_READY,learning branches/current implementation,Learning workstream qualification receipts,Research;Knowledge;Orchestrator,Learning domain truth separate from Curriculum content structure,Master standing ingestion pending,RECONCILIATION_REQUIRED
MOD-CURRICULUM-001,Curriculum System,DOMAIN,MOD-CURRICULUM-001,RESEARCH_CLOSED,IMPLEMENTATION_HISTORY,NOT_NORMALIZED,NOT_NORMALIZED,NOT_PRODUCTION_READY,curriculum/learning branches,global module/recovery audits,Learning;Research;Knowledge,Curriculum domain authority separate from Learning runtime,Current evidence ingestion/reconciliation required,RECONCILIATION_REQUIRED
BOOK-OS,Book Writing Operating System,DOMAIN,Book authorities,ARCHITECTURE_STRONG,ACTIVE_IMPLEMENTATION,PORTABLE_AND_EMPIRICAL_PARTIAL,TARGET_PARTIAL,NOT_PRODUCTION_READY,Book branches/qualification artifacts,Book evaluator/Literary/Story Bible workstream evidence,Research;Knowledge;Creative;Assurance,Specialist book authorities; not a single monolith,Higher ledger and whole-book current standing not exhausted,RECONCILIATION_REQUIRED
MOD-AUTOMATION-001,Automation System,DOMAIN,MOD-AUTOMATION-001,RESEARCH_CLOSED,RECOVERED_PARTIAL,PORTABLE_PARTIAL,NOT_NORMALIZED,NOT_PRODUCTION_READY,recovered Automation source,System Recovery Audit,Orchestrator;FOUNDATION-003;PLATFORM-002;010,Must not create second scheduler/executor,Durability/composition/activation proof incomplete,IMPLEMENTATION_GAP
MOD-CALENDAR-001,Calendar Scheduling Domain,DOMAIN,MOD-CALENDAR-001,RESEARCH_CLOSED,RECOVERED_PARTIAL,PORTABLE_PARTIAL,PROVIDER_NATIVE_PENDING,NOT_PRODUCTION_READY,recovered Calendar source,System Recovery Audit,PLATFORM-011;DATA-001;Orchestrator,Calendar domain truth distinct from long-job scheduler,Durability/provider integration/current qualification incomplete,IMPLEMENTATION_GAP
MOD-COMMS-001,Communications Domain,DOMAIN,MOD-COMMS-001,RESEARCH_CLOSED,RECOVERED_PARTIAL,PORTABLE_PARTIAL,PROVIDER_NATIVE_PENDING,NOT_PRODUCTION_READY,recovered Communications source,System Recovery Audit,PLATFORM-011;010;DATA-001,Must reuse external communication/effect authorities,Durability/provider integration/current qualification incomplete,IMPLEMENTATION_GAP
MOD-PLUGINS-001,Plugins Connectors Domain,DOMAIN,MOD-PLUGINS-001,RESEARCH_CLOSED,RECOVERED_PARTIAL,PORTABLE_PARTIAL,PROVIDER_NATIVE_PENDING,NOT_PRODUCTION_READY,recovered Plugins source,System Recovery Audit,PLATFORM-006;010;011,Plugin metadata cannot bypass capability/effect/provider governance,Activation/security/durability/current qualification incomplete,IMPLEMENTATION_GAP
MOD-PORTFOLIO-001,Living Portfolio,DOMAIN,MOD-PORTFOLIO-001,RESEARCH_CLOSED,RECOVERED_PARTIAL,PORTABLE_PARTIAL,NOT_NORMALIZED,NOT_PRODUCTION_READY,recovered Portfolio source,System Recovery Audit,DATA-001;Projects;Learning,Long-lived domain requires durable repository,Durability/composition/current qualification incomplete,IMPLEMENTATION_GAP
MOD-LEDGER-001,Financial Ledger Domain,DOMAIN,MOD-LEDGER-001,RESEARCH_CLOSED,RECOVERED_PARTIAL,PORTABLE_PARTIAL,NOT_NORMALIZED,NOT_PRODUCTION_READY,recovered Ledger source,System Recovery Audit,DATA-001;Rights/Auth boundaries,Must not duplicate generic DATA authority; owns finance semantics only,Durability/accounting invariants/current qualification incomplete,IMPLEMENTATION_GAP
MOD-AIINCOME-001,AI Income System,DOMAIN,MOD-AIINCOME-001,RESEARCH_CLOSED,RECOVERED_PARTIAL,PORTABLE_PARTIAL,PROVIDER_HUMAN_TARGET_PENDING,NOT_PRODUCTION_READY,recovered AI Income source,System Recovery Audit,Projects;Learning;Portfolio;Ledger;Comms,Recommendations/proposals cannot self-authorize consequential external action,Durable domain integration and target/human qualification incomplete,IMPLEMENTATION_GAP
