index,dimension_id,group,key,name,evaluation_question,measurement_posture,anti_gaming_rule
36,PCE013-DIM-037,TRUST_EPISTEMIC,NARRATOR_SOURCE_CREDIBILITY,Narrator/source credibility,How credible does the relevant narrator/source appear under current evidence?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
37,PCE013-DIM-038,TRUST_EPISTEMIC,CLAIM_PLAUSIBILITY,Claim plausibility,How plausible do claims/events appear given reader knowledge and manuscript evidence?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
38,PCE013-DIM-039,TRUST_EPISTEMIC,EVIDENCE_PERCEPTION,Perceived evidence sufficiency,Does the reader perceive adequate support for the stated certainty/purpose?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
39,PCE013-DIM-040,TRUST_EPISTEMIC,CERTAINTY_ALIGNMENT,Certainty alignment,Does rhetoric communicate a certainty level consistent with evidence and author stance?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
40,PCE013-DIM-041,TRUST_EPISTEMIC,CONTRADICTION_RESPONSE,Contradiction response,"Are apparent contradictions productively unresolved, reconciled, or trust-damaging?",INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
41,PCE013-DIM-042,TRUST_EPISTEMIC,TRUST_RECOVERY,Trust recovery,"After uncertainty/error/unreliability, is the intended trust relationship re-established or reframed?",INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
42,PCE013-DIM-043,EFFORT_CONFUSION_FATIGUE,PROCESSING_EFFORT,Overall processing effort,How demanding is integration relative to reader profile and intended difficulty?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
43,PCE013-DIM-044,EFFORT_CONFUSION_FATIGUE,LEXICAL_BURDEN,Lexical burden,Does vocabulary create productive precision or unnecessary access cost?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
44,PCE013-DIM-045,EFFORT_CONFUSION_FATIGUE,SYNTACTIC_BURDEN,Syntactic burden,Does syntax support intended nuance or create unintended parsing difficulty?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
45,PCE013-DIM-046,EFFORT_CONFUSION_FATIGUE,REFERENTIAL_BURDEN,Referential burden,How difficult is pronoun/entity/reference resolution?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
46,PCE013-DIM-047,EFFORT_CONFUSION_FATIGUE,CONCEPTUAL_DENSITY,Conceptual density,Can the reader integrate concept/claim density at the intended pace?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
47,PCE013-DIM-048,EFFORT_CONFUSION_FATIGUE,PRODUCTIVE_CONFUSION,Productive confusion,Does uncertainty invite hypothesis/inquiry rather than merely block comprehension?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
48,PCE013-DIM-049,EFFORT_CONFUSION_FATIGUE,UNPRODUCTIVE_CONFUSION,Unproductive confusion,Where is misunderstanding likely without intended payoff?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
49,PCE013-DIM-050,EFFORT_CONFUSION_FATIGUE,FATIGUE_ACCUMULATION,Fatigue accumulation,Does effort accumulate beyond the intended reading burden or recover after demanding sections?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
50,PCE013-DIM-051,RESONANCE_MEMORY_MOMENTUM,SALIENCE,Salience,Which events/ideas/images/lines are likely to stand out and why?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
51,PCE013-DIM-052,RESONANCE_MEMORY_MOMENTUM,MEMORABILITY,Memorability,"Which content is likely retained across later units, with uncertainty?",INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
52,PCE013-DIM-053,RESONANCE_MEMORY_MOMENTUM,THEMATIC_RESONANCE,Thematic resonance,Do patterns/themes gain reader-side significance without the simulator becoming theme authority?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
53,PCE013-DIM-054,RESONANCE_MEMORY_MOMENTUM,PERSONAL_RESONANCE,Personal resonance,"Where might a bounded profile connect personally, without claiming universal or identity-determined response?",INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
54,PCE013-DIM-055,RESONANCE_MEMORY_MOMENTUM,MOTIF_RETENTION,Motif/callback retention,Are motifs/setups likely remembered when later callbacks/payoffs arrive?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
55,PCE013-DIM-056,RESONANCE_MEMORY_MOMENTUM,MOMENTUM,Reading momentum,"Does the reader feel forward pull, deliberate pause, or drag relative to pacing intent?",INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
56,PCE013-DIM-057,RESONANCE_MEMORY_MOMENTUM,CONTINUATION_DESIRE,Continuation desire,"Is desire to continue plausible for this profile/purpose, without equating it to literary value?",INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
57,PCE013-DIM-058,RESONANCE_MEMORY_MOMENTUM,CLOSURE_RESIDUE,Closure/aftereffect,"At a local/final closure, what questions, emotions, ideas or images remain as intended?",INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
58,PCE013-DIM-059,CALIBRATION_PLURALISM,PROFILE_SENSITIVITY,Profile sensitivity,Do predicted responses change plausibly when task-relevant reader assumptions change?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
59,PCE013-DIM-060,CALIBRATION_PLURALISM,RUN_STABILITY,Run stability,"Are repeated simulations stable enough on calibrated dimensions, and is stochastic variance reported?",INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
60,PCE013-DIM-061,CALIBRATION_PLURALISM,PROFILE_DISAGREEMENT,Profile disagreement,Where do reader profiles diverge materially and what assumptions drive it?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
61,PCE013-DIM-062,CALIBRATION_PLURALISM,MODEL_DISAGREEMENT,Model/evaluator disagreement,Where do different simulators/evaluators disagree?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
62,PCE013-DIM-063,CALIBRATION_PLURALISM,HUMAN_ALIGNMENT,Human calibration alignment,How well do calibrated dimensions align with held-out human observations?,INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
63,PCE013-DIM-064,CALIBRATION_PLURALISM,LONG_FORM_STATE_RETENTION,Long-form state retention,"Does sequential simulation retain/revise appropriate knowledge, questions, memory and affect across long spans?",INTENT_RELATIVE_MULTIMODAL_EVIDENCE,Never optimize the dimension without its intent envelope; preserve uncertainty and reader plurality.
