case_id,group,requirement
K11,K,craft record preserves genre form audience and POV-distance applicability where relevant
K12,K,craft record preserves exact provenance and evidence references
K13,K,craft record preserves uncertainty rather than fabricating certainty
K14,K,named author or work may exist only as lawful provenance scholarship metadata when applicable
K15,K,named-author imitation similarity or nearest-author generation target is forbidden
K16,K,craft record and retrieval response forbid unauthorized raw or reconstructive source text
K17,K,craft retrieval cannot rank by prestige citation count or one universal literary quality score
K18,K,craft retrieval is deterministic for the same exact query policy and current record set
K19,K,craft retrieval result binds exact selected craft record identities and digests
K20,K,stale or changed craft record invalidates only B05 artifacts that consumed that record
O01,O,diagnostic observation binds exact diagnostic context identity and digest
O02,O,diagnostic observation references exactly one known B05 diagnostic lens
O03,O,finding class is restricted to STRENGTH LIMITATION RISK OPPORTUNITY_SUPPORT CONTRADICTION NO_FINDING ABSTAINED or BLOCKED
O04,O,STRENGTH is first-class diagnostic evidence and is not discarded by problem-focused assembly
O05,O,LIMITATION RISK and OPPORTUNITY_SUPPORT preserve evidence and scope rather than implying revision authority
O06,O,NO_FINDING is a valid observation and does not fabricate a problem
O07,O,ABSTAINED is a valid observation and does not fabricate evidence or confidence
O08,O,BLOCKED requires a blocker reason and cannot masquerade as a diagnostic finding
O09,O,MODEL-sourced observation requires exact current provider subject admission binding
O10,O,HUMAN-sourced observation is evidence but does not automatically become calibrated or gold standing
O11,O,substantive diagnostic findings require nonempty evidence references
O12,O,observation preserves exact upstream dependency references actually relied upon
O13,O,evidence strength uses the frozen non-universal ordinal representation
O14,O,observation or diagnosis cannot aggregate evidence strength into a universal prose score
O15,O,purpose relevance is explicit and distinct from quality standing
O16,O,preservation and collateral risk classes are explicit and non-authoritative
O17,O,contradicting observations remain visible and linked rather than forced into consensus
O18,O,duplicate observation identities are rejected rather than double-counted
O19,O,diagnosis assembly is deterministic and content addressed for the same sealed observations
O20,O,diagnosis projection exposes coverage for all 16 frozen B05 diagnostic lenses
O21,O,correlated specialist observations cannot inflate evidence strength as if independent
O22,O,opportunity adjudication deduplicates observations that point to the same underlying opportunity
O23,O,opportunity ledger contains at most three opportunities and rejects any fourth admitted opportunity
O24,O,zero-opportunity NO_ACTION outcome is valid and does not force a revision target
I01,I,exact current dependency snapshot yields current context diagnosis and opportunity layers
I02,I,stale B02 source or projection identity stales context and all dependent B05 layers
I03,I,stale consumed B03 Story Bible knowledge or semantic dependency stales dependent B05 layers
I04,I,stale B04 reader evidence stales only B05 artifacts that consumed that evidence
I05,I,stale B08 voice preference evidence stales only B05 artifacts that consumed it
I06,I,stale B10 or Book author constraint evidence stales only B05 artifacts that consumed it
I07,I,stale B05 craft record or retrieval policy stales only observations or ledgers that consumed it
I08,I,stale provider admission stales provider-produced observations and dependent diagnosis without mutating provider state
I09,I,scope or source-anchor identity drift stales exact dependent context
I10,I,unrelated new upstream records do not cause false invalidation
I11,I,currentness receipt is deterministic and content addressed
I12,I,currentness receipt digest or identity tampering fails closed
I13,I,current diagnostic-context query returns only an exact current context
I14,I,stale diagnostic context cannot be returned as current
I15,I,current diagnosis query returns only the exact current diagnosis projection
I16,I,stale diagnosis cannot be returned as current
I17,I,lens evidence query validates exact sealed observation membership and currentness before returning evidence
I18,I,opportunity-ledger query returns only exact current bounded ledger
I19,I,craft-intelligence retrieval query excludes stale blocked or task-inapplicable records from applicable results
I20,I,currentness query remains reachable while B05 artifacts are stale so recomputation boundary can be inspected
I21,I,exact replay of unchanged B05 construction or assembly operations is idempotent and content addressed
I22,I,reordering set-like evidence references does not change deterministic semantic identity after normalization
I23,I,currentness exposes exact recompute layer requirements without unnecessary upstream or unrelated recomputation
I24,I,B05 invalidation and currentness computation never mutates B02 B03 B04 B08 B10 or provider state
X01,X,replacement manuscript prose in a B05 diagnostic payload is forbidden
X02,X,revision candidate text or applied transform in a B05 diagnostic payload is forbidden
X03,X,original-vs-candidate winner or evaluation disposition from B05 is forbidden
X04,X,B08 governing voice degradation evolution or trait standing from B05 is forbidden
X05,X,B08 governing homogenization overoptimization standing from B05 is forbidden
X06,X,universal prose quality score aggregate rank or percentile is forbidden
X07,X,named-author imitation similarity target or nearest-author quality proxy is forbidden
X08,X,chain-of-thought hidden reasoning or private model reasoning payload is forbidden
X09,X,credentials secrets publication credentials or provider secrets are forbidden in durable B05 records
X10,X,canonical_effect true or any canonical mutation authority is forbidden
X11,X,B05 cannot widen the frozen B01 provider capability registry as a side effect
X12,X,retired PROSE owner path or PROSE capability identity cannot regain current dispatch authority
X13,X,B05 cannot create a second Story Bible canonical knowledge graph or canon authority
X14,X,B05 cannot create a second B04 reader exposure understanding or reader-standing authority
X15,X,B05 cannot synthesize author intent protected-language decision or editorial approval authority
X16,X,literary diagnosis cannot certify theological historical scientific or other factual truth outside its authority
X17,X,B05 bounded diagnosis cannot claim B09 distant global coherence ownership
X18,X,unadmitted provider subject cannot create current executable-provider diagnostic standing
X19,X,provider success cannot imply author approval canonical admission publication production or evaluation calibration authority
X20,X,B05 literary task fit cannot override B02 blocked unresolved or absent source rights custody standing
X21,X,conflict with exact B03 canon or required author constraints blocks affected diagnosis or opportunity rather than being averaged away
X22,X,B04 reader dimension or lens evidence cannot be converted into a universal craft-quality score
X23,X,all frozen B05 external calibration and environment fences remain open under deterministic synthetic qualification
X24,X,historical Literary Prose PASS transfer into current B05 qualification remains exactly zero
